ResID;Chinese_Simplified;Chinese_Traditional;Japanese;Korean;English;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic
m26;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m27;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m28;分钟;分鐘;分;分钟;Minutes;分钟;分钟;;;;;;;;;;;;;;;
m29;目标：;目標：;目標：;目标：;Objectives:;目标：;目标：;;;;;;;;;;;;;;;
m30;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m31;锻炼;鍛煉;鍛える;锻炼;Exercise;锻炼;锻炼;;;;;;;;;;;;;;;
m32;锻炼记录;鍛煉記錄;運動記録;锻炼记录;Exercise record;锻炼记录;锻炼记录;;;;;;;;;;;;;;;
m33;训练状态;訓練狀態;訓練状態;训练状态;Training status;训练状态;训练状态;;;;;;;;;;;;;;;
m34;心率;心率;心拍数;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m35;血氧饱和度;血氧飽和度;酸素飽和度;血氧饱和度;Blood oxygen saturation;血氧饱和度;血氧饱和度;;;;;;;;;;;;;;;
m36;活动记录;活動記錄;活動記録;活动记录;Activity record;活动记录;活动记录;;;;;;;;;;;;;;;
m37;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m38;压力;壓力;圧力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m39;呼吸训练;呼吸訓練;呼吸訓練;呼吸训练;Breathing training;呼吸训练;呼吸训练;;;;;;;;;;;;;;;
m40;通话记录;通話記錄;通話記録;通话记录;Call log;通话记录;通话记录;;;;;;;;;;;;;;;
m41;常用联系人;常用聯繫人;一般的な連絡先;常用联系人;Common contacts;常用联系人;常用联系人;;;;;;;;;;;;;;;
m42;音乐;音樂;音楽;音乐;Music;音乐;音乐;;;;;;;;;;;;;;;
m43;海拔气压计;海拔氣壓計;高度気圧計;海拔气压计;Altitude barometer;海拔气压计;海拔气压计;;;;;;;;;;;;;;;
m44;指南计;指南計;ガイドメータ;指南计;Guidebook;指南计;指南计;;;;;;;;;;;;;;;
m45;信息;資訊;情報;信息;Information;信息;信息;;;;;;;;;;;;;;;
m46;天气;天氣;天気;天气;Weather;天气;天气;;;;;;;;;;;;;;;
m47;卡包;卡包;カードケース;卡包;Card Pack;卡包;卡包;;;;;;;;;;;;;;;
m48;支付宝;支付寶;支付宝;支付宝;Alipay;支付宝;支付宝;;;;;;;;;;;;;;;
m49;秒表;碼錶;ストップウォッチ;秒表;Stopwatch;秒表;秒表;;;;;;;;;;;;;;;
m50;计时器;計時器;タイマー;计时器;Timer;计时器;计时器;;;;;;;;;;;;;;;
m51;闹钟;鬧鐘;目覚まし時計;闹钟;Alarm clock;闹钟;闹钟;;;;;;;;;;;;;;;
m52;手电筒;手電筒;懐中電灯;手电筒;Flashlight;手电筒;手电筒;;;;;;;;;;;;;;;
m53;找手机;找手機;携帯電話を探す;找手机;Looking for a cell phone;找手机;找手机;;;;;;;;;;;;;;;
m54;设置;設置;設定;设置;Settings;设置;设置;;;;;;;;;;;;;;;
m55;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m56;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m57;分钟;分鐘;分;分钟;Minutes;分钟;分钟;;;;;;;;;;;;;;;
m58;目标：;目標：;目標：;目标：;Objectives:;目标：;目标：;;;;;;;;;;;;;;;
m59;小时;小時;時間;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m60;锻炼;鍛煉;鍛える;锻炼;Exercise;锻炼;锻炼;;;;;;;;;;;;;;;
m61;锻炼记录;鍛煉記錄;運動記録;锻炼记录;Exercise record;锻炼记录;锻炼记录;;;;;;;;;;;;;;;
m62;训练状态;訓練狀態;訓練状態;训练状态;Training status;训练状态;训练状态;;;;;;;;;;;;;;;
m63;心率;心率;心拍数;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m64;血氧饱和度;血氧飽和度;酸素飽和度;血氧饱和度;Blood oxygen saturation;血氧饱和度;血氧饱和度;;;;;;;;;;;;;;;
m65;活动记录;活動記錄;活動記録;活动记录;Activity record;活动记录;活动记录;;;;;;;;;;;;;;;
m66;睡眠;睡眠;すいみん;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m67;压力;壓力;圧力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m68;呼吸训练;呼吸訓練;呼吸訓練;呼吸训练;Breathing training;呼吸训练;呼吸训练;;;;;;;;;;;;;;;
m69;通话记录;通話記錄;通話記録;通话记录;Call log;通话记录;通话记录;;;;;;;;;;;;;;;
m70;常用联系人;常用聯繫人;一般的な連絡先;常用联系人;Common contacts;常用联系人;常用联系人;;;;;;;;;;;;;;;
m71;音乐;音樂;音楽;音乐;Music;音乐;音乐;;;;;;;;;;;;;;;
m72;海拔气压计;海拔氣壓計;高度気圧計;海拔气压计;Altitude barometer;海拔气压计;海拔气压计;;;;;;;;;;;;;;;
m73;指南计;指南計;ガイドメータ;指南计;Guidebook;指南计;指南计;;;;;;;;;;;;;;;
m74;信息;資訊;情報;信息;Information;信息;信息;;;;;;;;;;;;;;;
m75;天气;天氣;天気;天气;Weather;天气;天气;;;;;;;;;;;;;;;
m76;卡包;卡包;カードケース;卡包;Card Pack;卡包;卡包;;;;;;;;;;;;;;;
m77;支付宝;支付寶;支付宝;支付宝;Alipay;支付宝;支付宝;;;;;;;;;;;;;;;
m78;秒表;碼錶;ストップウォッチ;秒表;Stopwatch;秒表;秒表;;;;;;;;;;;;;;;
m79;计时器;計時器;タイマー;计时器;Timer;计时器;计时器;;;;;;;;;;;;;;;
m80;闹钟;鬧鐘;目覚まし時計;闹钟;Alarm clock;闹钟;闹钟;;;;;;;;;;;;;;;
m81;手电筒;手電筒;懐中電灯;手电筒;Flashlight;手电筒;手电筒;;;;;;;;;;;;;;;
m82;找手机;找手機;携帯電話を探す;找手机;Looking for a cell phone;找手机;找手机;;;;;;;;;;;;;;;
m83;设置;設置;設定;设置;Settings;设置;设置;;;;;;;;;;;;;;;
m84;蓝牙;藍牙;Bluetooth;蓝牙;Bluetooth;蓝牙;蓝牙;;;;;;;;;;;;;;;
m85;发射器;發射器;送信機;发射器;Transmitter;发射器;发射器;;;;;;;;;;;;;;;
m86;搜索;搜索;検索;搜索;Search;搜索;搜索;;;;;;;;;;;;;;;
m87;退出;退出;退出;退出;Exit;退出;退出;;;;;;;;;;;;;;;
m88;本地播放;本地播放;ローカル再生;本地播放;Local Play;本地播放;本地播放;;;;;;;;;;;;;;;
m89;配对记录;配對記錄;ペアレコード;配对记录;Pairing record;配对记录;配对记录;;;;;;;;;;;;;;;
m90;同步通讯录;同步通訊錄;どうきアドレス帳;同步通讯录;Synchronize address book;同步通讯录;同步通讯录;;;;;;;;;;;;;;;
m91;是;是;はい;是;YES;是;是;;;;;;;;;;;;;;;
m92;否;否;いいえ;否;NO;否;否;;;;;;;;;;;;;;;
m93;设定;設定;設定;设定;Settings;设定;设定;;;;;;;;;;;;;;;
m94;手表音乐;手錶音樂;時計音楽;手表音乐;Watch music;手表音乐;手表音乐;;;;;;;;;;;;;;;
m95;手机音乐;手機音樂;携帯音楽;手机音乐;Mobile phone music;手机音乐;手机音乐;;;;;;;;;;;;;;;
m96;蓝牙耳机;藍牙耳機;Bluetoothヘッドセット;蓝牙耳机;Bluetooth headset;蓝牙耳机;蓝牙耳机;;;;;;;;;;;;;;;
m97;新设备;新設備;新しいデバイス;新设备;New equipment;新设备;新设备;;;;;;;;;;;;;;;
m98;已连接;已連接;接続済み;已连接;Connected;已连接;已连接;;;;;;;;;;;;;;;
m99;已断开;已斷開;切断されました;已断开;Disconnected;已断开;已断开;;;;;;;;;;;;;;;
m100;搜寻中;搜尋中;捜索中;搜寻中;In search;搜寻中;搜寻中;;;;;;;;;;;;;;;
m101;搜寻完成;搜尋完成;検索完了;搜寻完成;Search complete;搜寻完成;搜寻完成;;;;;;;;;;;;;;;
m102;重试;重試;再試行;重试;Retry;重试;重试;;;;;;;;;;;;;;;
m103;配对要求;配對要求;たいごうようけん;配对要求;Pairing requirements;配对要求;配对要求;;;;;;;;;;;;;;;
m104;确定;確定;確定;确定;Determine;确定;确定;;;;;;;;;;;;;;;
m105;配对中;配對中;ペアで;配对中;In pairing;配对中;配对中;;;;;;;;;;;;;;;
m106;配对成功;配對成功;ペアリング成功;配对成功;Pairing successful;配对成功;配对成功;;;;;;;;;;;;;;;
m107;配对失败;配對失敗;ペアリングに失敗しました;配对失败;Pairing failed;配对失败;配对失败;;;;;;;;;;;;;;;
m108;中断连接;中斷連接;接続を切断する;中断连接;Disconnect;中断连接;中断连接;;;;;;;;;;;;;;;
m109;重新连接;重新連接;再接続;重新连接;Reconnect;重新连接;重新连接;;;;;;;;;;;;;;;
m110;解除配对;解除配對;ペアリング解除;解除配对;Unpaired;解除配对;解除配对;;;;;;;;;;;;;;;
m111;音乐列表;音樂列表;音楽リスト;音乐列表;Music list;音乐列表;音乐列表;;;;;;;;;;;;;;;
m112;全部清除;全部清除;すべてクリア;全部清除;Clear All;全部清除;全部清除;;;;;;;;;;;;;;;
m113;删除音乐;刪除音樂;音楽を削除;删除音乐;Delete music;删除音乐;删除音乐;;;;;;;;;;;;;;;
m114;文件传输;檔傳輸;ファイル転送;文件传输;File transfer;文件传输;文件传输;;;;;;;;;;;;;;;
m115;文件删除;檔刪除;ファイル削除;文件删除;File deletion;文件删除;文件删除;;;;;;;;;;;;;;;
m116;背景图片;背景圖片;背景画像;背景图片;Background picture;背景图片;背景图片;;;;;;;;;;;;;;;
m117;请插入设备;請插入設備;デバイスを挿入してください;请插入设备;Please insert the device;请插入设备;请插入设备;;;;;;;;;;;;;;;
m118;PC模式;PC模式;PCモード;PC模式;PC mode;PC模式;PC模式;;;;;;;;;;;;;;;
m119;PC模式;PC模式;PCモード;PC模式;PC mode;PC模式;PC模式;;;;;;;;;;;;;;;
m120;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
m121;3;3;3;3;3;3;3;;;;;;;;;;;;;;;
m122;5;5;5;5;5;5;5;;;;;;;;;;;;;;;
m123;10;10;10;10;10;10;10;;;;;;;;;;;;;;;
m124;15;15;15;15;15;15;15;;;;;;;;;;;;;;;
m125;30;30;30;30;30;30;30;;;;;;;;;;;;;;;
m126;2;2;2;2;2;2;2;;;;;;;;;;;;;;;
m127;设置时间;設置時間;時間の設定;设置时间;Set time;设置时间;设置时间;;;;;;;;;;;;;;;
m128;自定义;自定義;カスタマイズ;自定义;Custom;自定义;自定义;;;;;;;;;;;;;;;
m129;确定;確定;確定;确定;Determine;确定;确定;;;;;;;;;;;;;;;
m130;:;:;:;:;:;:;:;;;;;;;;;;;;;;;
m131;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
m132;2;2;2;2;2;2;2;;;;;;;;;;;;;;;
m133;3;3;3;3;3;3;3;;;;;;;;;;;;;;;
m134;4;4;4;4;4;4;4;;;;;;;;;;;;;;;
m135;5;5;5;5;5;5;5;;;;;;;;;;;;;;;
m136;6;6;6;6;6;6;6;;;;;;;;;;;;;;;
m137;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m138;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m139;9;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m140;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m141;11;11;11;11;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m142;12;12;12;12;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m143;13;13;13;13;13;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m144;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m145;15;15;15;15;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m146;16;16;16;16;16;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m147;17;17;17;17;17;17;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m148;18;18;18;18;18;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m149;19;19;19;19;19;19;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m150;20;20;20;20;20;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m151;21;21;21;21;21;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m152;22;22;22;22;22;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m153;23;23;23;23;23;23;23;;;;;;;;;;;;;;;;;;
m154;24;24;24;24;24;24;24;;;;;;;;;;;;;;;;;;
m155;25;25;25;25;25;25;25;;;;;;;;;;;;;;;;;;
m156;26;26;26;26;26;26;26;;;;;;;;;;;;;;;;;;
m157;27;27;27;27;27;27;27;;;;;;;;;;;;;;;;;;
m158;28;28;28;28;28;28;28;;;;;;;;;;;;;;;;;;
m159;29;29;29;29;29;29;29;;;;;;;;;;;;;;;;;;
m160;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;
m161;31;31;31;31;31;31;31;;;;;;;;;;;;;;;;;;
m162;32;32;32;32;32;32;32;;;;;;;;;;;;;;;;;;
m163;33;33;33;33;33;33;33;;;;;;;;;;;;;;;;;;
m164;34;34;34;34;34;34;34;;;;;;;;;;;;;;;;;;
m165;35;35;35;35;35;35;35;;;;;;;;;;;;;;;;;;
m166;36;36;36;36;36;36;36;;;;;;;;;;;;;;;;;;
m167;37;37;37;37;37;37;37;;;;;;;;;;;;;;;;;;
m168;38;38;38;38;38;38;38;;;;;;;;;;;;;;;;;;
m169;39;39;39;39;39;39;39;;;;;;;;;;;;;;;
m170;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
m171;41;41;41;41;41;41;41;;;;;;;;;;;;;;;
m172;42;42;42;42;42;42;42;;;;;;;;;;;;;;;
m173;43;43;43;43;43;43;43;;;;;;;;;;;;;;;
m174;44;44;44;44;44;44;44;;;;;;;;;;;;;;;
m175;45;45;45;45;45;45;45;;;;;;;;;;;;;;;
m176;46;46;46;46;46;46;46;;;;;;;;;;;;;;;
m177;47;47;47;47;47;47;47;;;;;;;;;;;;;;;
m178;48;48;48;48;48;48;48;;;;;;;;;;;;;;;
m179;49;49;49;49;49;49;49;;;;;;;;;;;;;;;
m180;50;50;50;50;50;50;50;;;;;;;;;;;;;;;
m181;51;51;51;51;51;51;51;;;;;;;;;;;;;;;
m182;52;52;52;52;52;52;52;;;;;;;;;;;;;;;
m183;53;53;53;53;53;53;53;;;;;;;;;;;;;;;
m184;54;54;54;54;54;54;54;;;;;;;;;;;;;;;
m185;55;55;55;55;55;55;55;;;;;;;;;;;;;;;
m186;56;56;56;56;56;56;56;;;;;;;;;;;;;;;
m187;57;57;57;57;57;57;57;;;;;;;;;;;;;;;
m188;58;58;58;58;58;58;58;;;;;;;;;;;;;;;
m189;59;59;59;59;59;59;59;;;;;;;;;;;;;;;
m190;自定义;自定義;カスタマイズ;自定义;Custom;自定义;自定义;;;;;;;;;;;;;;;
m191;心率;心率;心拍数;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m192;电量;電量;電気量;电量;Electricity;电量;电量;;;;;;;;;;;;;;;
m193;天气;天氣;天気;天气;Weather;天气;天气;;;;;;;;;;;;;;;
m194;压力;壓力;圧力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m195;步数;步數;ステップ数;步数;Number of Steps;步数;步数;;;;;;;;;;;;;;;
m196;中高强度;中高強度;中高強度;中高强度;Medium and high strength;中高强度;中高强度;;;;;;;;;;;;;;;
m197;活动小时数;活動小時數;活動時間;活动小时数;Activity hours;活动小时数;活动小时数;;;;;;;;;;;;;;;
m198;热量;熱量;熱量;热量;Heat;热量;热量;;;;;;;;;;;;;;;
m199;气压;氣壓;気圧;气压;Air pressure;气压;气压;;;;;;;;;;;;;;;
m200;海拔;海拔;高度;海拔;Altitude;海拔;海拔;;;;;;;;;;;;;;;
m201;最大涉氧量;最大涉氧量;最大酸素量;最大涉氧量;Maximum oxygen involved;最大涉氧量;最大涉氧量;;;;;;;;;;;;;;;
m202;日期;日期;日付;日期;Date;日期;日期;;;;;;;;;;;;;;;
m203;双时区;雙時區;デュアルタイムゾーン;双时区;Double time zone;双时区;双时区;;;;;;;;;;;;;;;
m204;不显示;不顯示;表示しない;不显示;Not displayed;不显示;不显示;;;;;;;;;;;;;;;
m205;屏幕显示;螢幕顯示;画面表示;屏幕显示;Screen display;屏幕显示;屏幕显示;;;;;;;;;;;;;;;
m206;蓝牙耳机;藍牙耳機;Bluetoothヘッドセット;蓝牙耳机;Bluetooth headset;蓝牙耳机;蓝牙耳机;;;;;;;;;;;;;;;
m207;声音设置;聲音設置;サウンド設定;声音设置;Sound settings;声音设置;声音设置;;;;;;;;;;;;;;;
m208;振动强度;振動強度;しんどうきょうど;振动强度;Vibration intensity;振动强度;振动强度;;;;;;;;;;;;;;;
m209;勿扰模式;勿擾模式;スクランブルしないモード;勿扰模式;Do not disturb mode;勿扰模式;勿扰模式;;;;;;;;;;;;;;;
m210;下键设置;下鍵設置;下キーの設定;下键设置;Lower key setting;下键设置;下键设置;;;;;;;;;;;;;;;
m211;智慧语音;智慧語音;スマートボイス;智慧语音;Intelligent speech;智慧语音;智慧语音;;;;;;;;;;;;;;;
m212;密码;密碼;パスワード;密码;Password;密码;密码;;;;;;;;;;;;;;;
